# HELP systemruntime_cpu_usage_ratio CPU Usage
# TYPE systemruntime_cpu_usage_ratio gauge
systemruntime_cpu_usage_ratio 20.757536654978242 1677339667388
systemruntime_cpu_usage_ratio 19.210268374896575 1677339672388
systemruntime_cpu_usage_ratio 19.30208947274328 1677339677388
# HELP systemruntime_working_set_bytes Working Set
# TYPE systemruntime_working_set_bytes gauge
systemruntime_working_set_bytes 320172032 1677339667388
systemruntime_working_set_bytes 377450496 1677339672388
systemruntime_working_set_bytes 387792896 1677339677388
# HELP systemruntime_gc_heap_size_bytes GC Heap Size
# TYPE systemruntime_gc_heap_size_bytes gauge
systemruntime_gc_heap_size_bytes 245161176 1677339667388
systemruntime_gc_heap_size_bytes 302398400 1677339672388
systemruntime_gc_heap_size_bytes 58755032 1677339677388
# HELP systemruntime_gen_0_gc_count Gen 0 GC Count
# TYPE systemruntime_gen_0_gc_count gauge
systemruntime_gen_0_gc_count 0 1677339667388
systemruntime_gen_0_gc_count 0 1677339672388
systemruntime_gen_0_gc_count 1 1677339677388
# HELP systemruntime_gen_1_gc_count Gen 1 GC Count
# TYPE systemruntime_gen_1_gc_count gauge
systemruntime_gen_1_gc_count 0 1677339667388
systemruntime_gen_1_gc_count 0 1677339672389
systemruntime_gen_1_gc_count 1 1677339677388
# HELP systemruntime_gen_2_gc_count Gen 2 GC Count
# TYPE systemruntime_gen_2_gc_count gauge
systemruntime_gen_2_gc_count 0 1677339667388
systemruntime_gen_2_gc_count 0 1677339672389
systemruntime_gen_2_gc_count 0 1677339677388
# HELP systemruntime_threadpool_thread_count ThreadPool Thread Count
# TYPE systemruntime_threadpool_thread_count gauge
systemruntime_threadpool_thread_count 20 1677339667388
systemruntime_threadpool_thread_count 20 1677339672389
systemruntime_threadpool_thread_count 16 1677339677388
# HELP systemruntime_monitor_lock_contention_count Monitor Lock Contention Count
# TYPE systemruntime_monitor_lock_contention_count gauge
systemruntime_monitor_lock_contention_count 6 1677339667388
systemruntime_monitor_lock_contention_count 4 1677339672389
systemruntime_monitor_lock_contention_count 1 1677339677388
# HELP systemruntime_threadpool_queue_length ThreadPool Queue Length
# TYPE systemruntime_threadpool_queue_length gauge
systemruntime_threadpool_queue_length 0 1677339667388
systemruntime_threadpool_queue_length 0 1677339672389
systemruntime_threadpool_queue_length 1 1677339677388
# HELP systemruntime_threadpool_completed_items_count ThreadPool Completed Work Item Count
# TYPE systemruntime_threadpool_completed_items_count gauge
systemruntime_threadpool_completed_items_count 181504 1677339667388
