# HELP systemruntime_cpu_usage_ratio CPU Usage
# TYPE systemruntime_cpu_usage_ratio gauge
systemruntime_cpu_usage_ratio 0 1677339567967
systemruntime_cpu_usage_ratio 39.859320046893316 1677339572959
systemruntime_cpu_usage_ratio 44.27510746385307 1677339577954
# HELP systemruntime_working_set_bytes Working Set
# TYPE systemruntime_working_set_bytes gauge
systemruntime_working_set_bytes 170917888 1677339283644
systemruntime_working_set_bytes 73760768 1677339567967
systemruntime_working_set_bytes 229105664 1677339572959
# HELP systemruntime_gc_heap_size_bytes GC Heap Size
# TYPE systemruntime_gc_heap_size_bytes gauge
systemruntime_gc_heap_size_bytes 22164072 1677339283644
systemruntime_gc_heap_size_bytes 24671128 1677339567967
systemruntime_gc_heap_size_bytes 175222024 1677339572959
# HELP systemruntime_gen_0_gc_count Gen 0 GC Count
# TYPE systemruntime_gen_0_gc_count gauge
systemruntime_gen_0_gc_count 4 1677339283644
systemruntime_gen_0_gc_count 0 1677339567968
systemruntime_gen_0_gc_count 1 1677339572959
# HELP systemruntime_gen_1_gc_count Gen 1 GC Count
# TYPE systemruntime_gen_1_gc_count gauge
systemruntime_gen_1_gc_count 0 1677339283644
systemruntime_gen_1_gc_count 0 1677339567968
systemruntime_gen_1_gc_count 0 1677339572959
# HELP systemruntime_gen_2_gc_count Gen 2 GC Count
# TYPE systemruntime_gen_2_gc_count gauge
systemruntime_gen_2_gc_count 0 1677339283644
systemruntime_gen_2_gc_count 0 1677339567968
systemruntime_gen_2_gc_count 0 1677339572959
# HELP systemruntime_threadpool_thread_count ThreadPool Thread Count
# TYPE systemruntime_threadpool_thread_count gauge
systemruntime_threadpool_thread_count 12 1677339283644
systemruntime_threadpool_thread_count 9 1677339567968
systemruntime_threadpool_thread_count 17 1677339572959
# HELP systemruntime_monitor_lock_contention_count Monitor Lock Contention Count
# TYPE systemruntime_monitor_lock_contention_count gauge
systemruntime_monitor_lock_contention_count 27 1677339283644
systemruntime_monitor_lock_contention_count 5 1677339567968
systemruntime_monitor_lock_contention_count 47 1677339572959
# HELP systemruntime_threadpool_queue_length ThreadPool Queue Length
# TYPE systemruntime_threadpool_queue_length gauge
systemruntime_threadpool_queue_length 0 1677339283644
systemruntime_threadpool_queue_length 0 1677339567968
systemruntime_threadpool_queue_length 0 1677339572959
# HELP systemruntime_threadpool_completed_items_count ThreadPool Completed Work Item Count
# TYPE systemruntime_threadpool_completed_items_count gauge
systemruntime_threadpool_completed_items_count 1070289 1677339283644
systemruntime_threadpool_completed_items_count 80713 1677339567968
systemruntime_threadpool_completed_items_count 1023562 1677339572959
# HELP systemruntime_alloc_rate_bytes Allocation Rate
# TYPE systemruntime_alloc_rate_bytes gauge
systemruntime_alloc_rate_bytes 203834568 1677339283644
systemruntime_alloc_rate_bytes 23538760 1677339567968
systemruntime_alloc_rate_bytes 190798792 1677339572959
# HELP systemruntime_active_timer_count Number of Active Timers
# TYPE systemruntime_active_timer_count gauge
systemruntime_active_timer_count 0 1677339283644
systemruntime_active_timer_count 0 1677339567968
systemruntime_active_timer_count 0 1677339572959
# HELP systemruntime_gc_fragmentation_ratio GC Fragmentation
# TYPE systemruntime_gc_fragmentation_ratio gauge
systemruntime_gc_fragmentation_ratio 1.6671571018892082 1677339283644
systemruntime_gc_fragmentation_ratio 0 1677339567968
systemruntime_gc_fragmentation_ratio 36.905860624600656 1677339572959
# HELP systemruntime_gc_committed_bytes GC Committed Bytes
# TYPE systemruntime_gc_committed_bytes gauge
systemruntime_gc_committed_bytes 117047296 1677339283644
systemruntime_gc_committed_bytes 0 1677339567968
systemruntime_gc_committed_bytes 60227584 1677339572959
# HELP systemruntime_exception_count Exception Count
# TYPE systemruntime_exception_count gauge
systemruntime_exception_count 0 1677339283644
systemruntime_exception_count 0 1677339567968
systemruntime_exception_count 0 1677339572959
# HELP systemruntime_time_in_gc_ratio % Time in GC since last GC
# TYPE systemruntime_time_in_gc_ratio gauge
systemruntime_time_in_gc_ratio 0 1677339283644
systemruntime_time_in_gc_ratio 0 1677339567968
systemruntime_time_in_gc_ratio 0 1677339572959
# HELP systemruntime_gen_0_size_bytes Gen 0 Size
# TYPE systemruntime_gen_0_size_bytes gauge
systemruntime_gen_0_size_bytes 188752 1677339283644
systemruntime_gen_0_size_bytes 0 1677339567968
